Attack,Stretch,Stretch_sum,Translate,Translate_sum,Voltage
0.5,0.4275,0.9275,-0.2633333333333334,0.23666666666666658,0.9658
0.5,0.425,0.925,-0.2666666666666667,0.23333333333333328,0.9660000000000001
0.5,0.4225,0.9225,-0.27,0.22999999999999998,0.9662000000000001
0.5,0.42,0.9199999999999999,-0.27333333333333343,0.22666666666666657,0.9664
0.5,0.4175,0.9175,-0.2766666666666667,0.22333333333333327,0.9666
0.5,0.415,0.915,-0.28,0.21999999999999997,0.9668000000000001
0.5,0.4125,0.9125,-0.28333333333333344,0.21666666666666656,0.9670000000000001
0.5,0.41000000000000003,0.91,-0.28666666666666674,0.21333333333333326,0.9672000000000001
0.5,0.4075,0.9075,-0.29000000000000004,0.20999999999999996,0.9674
0.5,0.405,0.905,-0.29333333333333333,0.20666666666666667,0.9676
0.5,0.40249999999999997,0.9025,-0.29666666666666675,0.20333333333333325,0.9678
0.5,0.4,0.9,-0.30000000000000004,0.19999999999999996,0.9680000000000001
0.5,0.39749999999999996,0.8975,-0.30333333333333334,0.19666666666666666,0.9682000000000001
0.5,0.395,0.895,-0.30666666666666675,0.19333333333333325,0.9684
0.5,0.3925,0.8925000000000001,-0.31000000000000005,0.18999999999999995,0.9686
0.5,0.39,0.89,-0.31333333333333335,0.18666666666666665,0.9688000000000001
0.5,0.3875,0.8875,-0.31666666666666676,0.18333333333333324,0.9690000000000001
0.5,0.385,0.885,-0.32000000000000006,0.17999999999999994,0.9692000000000001
0.5,0.3825,0.8825000000000001,-0.32333333333333336,0.17666666666666664,0.9694
0.5,0.38,0.88,-0.32666666666666677,0.17333333333333323,0.9696
0.5,0.3775,0.8775,-0.33000000000000007,0.16999999999999993,0.9698
0.5,0.375,0.875,-0.33333333333333337,0.16666666666666663,0.9700000000000001
0.5,0.3725,0.8725,-0.33666666666666667,0.16333333333333333,0.9702000000000001
0.5,0.37,0.87,-0.3400000000000001,0.15999999999999992,0.9704
0.5,0.3675,0.8674999999999999,-0.3433333333333334,0.15666666666666662,0.9706
0.5,0.365,0.865,-0.3466666666666667,0.15333333333333332,0.9708
0.5,0.3625,0.8625,-0.3500000000000001,0.1499999999999999,0.9710000000000001
0.5,0.36,0.86,-0.3533333333333334,0.1466666666666666,0.9712000000000001
0.5,0.3575,0.8574999999999999,-0.3566666666666667,0.1433333333333333,0.9714
0.5,0.355,0.855,-0.3600000000000001,0.1399999999999999,0.9716
0.5,0.35250000000000004,0.8525,-0.3633333333333334,0.1366666666666666,0.9718
0.5,0.35,0.85,-0.3666666666666667,0.1333333333333333,0.9720000000000001
0.5,0.34750000000000003,0.8475,-0.3700000000000001,0.1299999999999999,0.9722000000000001
0.5,0.345,0.845,-0.3733333333333334,0.1266666666666666,0.9724
0.5,0.3425,0.8425,-0.3766666666666667,0.1233333333333333,0.9726
0.5,0.33999999999999997,0.84,-0.38,0.12,0.9728
0.5,0.3375,0.8375,-0.3833333333333334,0.11666666666666659,0.9730000000000001
0.5,0.33499999999999996,0.835,-0.3866666666666667,0.11333333333333329,0.9732000000000001
0.5,0.3325,0.8325,-0.39,0.10999999999999999,0.9734
0.5,0.32999999999999996,0.83,-0.3933333333333334,0.10666666666666658,0.9736
0.5,0.3275,0.8275,-0.3966666666666667,0.10333333333333328,0.9738
0.5,0.32499999999999996,0.825,-0.4,0.09999999999999998,0.9740000000000001
0.5,0.3225,0.8225,-0.40333333333333343,0.09666666666666657,0.9742000000000001
0.5,0.32,0.8200000000000001,-0.40666666666666673,0.09333333333333327,0.9744
0.5,0.3175,0.8175,-0.41000000000000003,0.08999999999999997,0.9746
0.5,0.315,0.815,-0.41333333333333344,0.08666666666666656,0.9748
0.5,0.3125,0.8125,-0.41666666666666674,0.08333333333333326,0.9750000000000001
0.5,0.31,0.81,-0.42000000000000004,0.07999999999999996,0.9752000000000001
0.5,0.3075,0.8075,-0.42333333333333334,0.07666666666666666,0.9754
0.5,0.305,0.8049999999999999,-0.42666666666666675,0.07333333333333325,0.9756
0.5,0.3025,0.8025,-0.43000000000000005,0.06999999999999995,0.9758
0.5,0.3,0.8,-0.43333333333333335,0.06666666666666665,0.9760000000000001
0.5,0.2975,0.7975,-0.43666666666666676,0.06333333333333324,0.9762000000000001
0.5,0.295,0.7949999999999999,-0.44000000000000006,0.05999999999999994,0.9764
0.5,0.2925,0.7925,-0.44333333333333336,0.05666666666666664,0.9766
0.5,0.29000000000000004,0.79,-0.44666666666666677,0.05333333333333323,0.9768
0.5,0.2875,0.7875,-0.45000000000000007,0.04999999999999993,0.9770000000000001
0.5,0.28500000000000003,0.785,-0.45333333333333337,0.046666666666666634,0.9772000000000001
0.5,0.2825,0.7825,-0.4566666666666668,0.043333333333333224,0.9774
0.5,0.28,0.78,-0.4600000000000001,0.039999999999999925,0.9776
0.5,0.27749999999999997,0.7775,-0.4633333333333334,0.036666666666666625,0.9778
0.5,0.275,0.775,-0.4666666666666667,0.033333333333333326,0.9780000000000001
